row_index,id,event,label,local_pred,prob_rumor,review_label,llm_confidence,review_source,would_rescue_false_negative,would_create_false_positive,reason,similar_examples,text
68,499703156889362432,1,0,0,0.49756432516257254,0,0.85,cache,False,False,推文内容与相似训练样本高度一致，且所有相似样本均为非谣言；文本无明确虚假或煽动线索，本地模型概率接近边界但证据不足支持改为谣言。,"[{""label"": 0, ""similarity"": 1.2844, ""text"": ""Moments ago, in #Ferguson RT @BmoreConetta: State senator Maria Chapelle Nadal taken into police custody""}, {""label"": 0, ""similarity"": 0.5683, ""text"": ""State Senator asks the #Ferguson police chief if she's going to be gassed again. http://t.co/jIKa6ZqlX0""}, {""label"": 0, ""similarity"": 0.55, ""text"": ""RT @AntonioFrench: State Senator asks the #Ferguson police chief if she's going to be gassed again. https://t.co/nOjU8ikmr2""}, {""label"": 0, ""similarity"": 0.5324, ""text"": ""Wow  RT @AntonioFrench: State Senator asks the #Ferguson police chief if she's going to be gassed again. https://t.co/wgnDJbEaGV""}]",#BREAKING: State Senator Maria Chapelle Nadal has been taken into police custody; she had been tear-gassed at an earlier protest. #Ferguson
167,580329219646988289,4,0,0,0.4926038250508155,0,0.85,cache,False,False,推文为客观位置陈述，本地模型证据偏向非谣言（如'alps URL'得分0.43），且相似训练样本中多数（3/4）为非谣言，仅一个谣言样本因BREAKING用语可能被标注，不足以支持覆盖。,"[{""label"": 1, ""similarity"": 1.0007, ""text"": ""BREAKING: 148 passengers were on board #GermanWings Airbus A320 which has crashed in the southern French Alps http://t.co/VxxvrU9XmV""}, {""label"": 0, ""similarity"": 0.9998, ""text"": ""Here's what we know so far about the #Germanwings flight that crashed in the French Alps http://t.co/3cruv6QIyv http://t.co/7QmHuwhkRi""}, {""label"": 0, ""similarity"": 0.8768, ""text"": ""Last position Germanwings A320 via @flightradar24 http://t.co/kJ5F9vlNQs""}, {""label"": 0, ""similarity"": 0.8737, ""text"": ""Germanwings Airbus A320 crashes in French Alps - live updates http://t.co/ZCHyZHUQ6Y""}]",Last position of the #GermanWings Airbus A320 passenger jet that crashed in the French Alps http://t.co/8UPMsinQkX http://t.co/K3etnEPmxk
261,544411561205301248,5,0,0,0.48626002677139923,0,0.75,cache,False,False,推文为一般性新闻声明，本地模型判为非谣言且相似训练样本多数为0，仅一个谣言样本但内容高度一致却无额外谣言线索，证据不足，应保持0。,"[{""label"": 1, ""similarity"": 0.8458, ""text"": ""Grand Mufti of Australia statement condemning #SydneySiege http://t.co/8juQ032EdP""}, {""label"": 0, ""similarity"": 0.7573, ""text"": ""The Grand Mufti of Australia issues a statement condemning the #sydneysiege http://t.co/9hhrKvaej5 http://t.co/eUKmoWbZUs""}, {""label"": 0, ""similarity"": 0.446, ""text"": ""The Australian Muslim community releases a statement with regard to #Sydneysiege http://t.co/TBSBYzD1xd http://t.co/HgHhpuvsWk""}, {""label"": 0, ""similarity"": 0.4451, ""text"": ""Australian Muslim community releases statement in response to #sydneysiege. http://t.co/r6UMUVGxHV""}]",The Lebanese Muslim Association has issued a statement condemning #sydneysiege and calling for calm. http://t.co/z2hCIBPaha
279,544434192478519297,5,0,0,0.45788463154558373,0,0.8,cache,False,False,推文描述人质关灯情景，与三个相似非谣言训练样本（0.726、0.615、0.550）高度一致，均为事件客观陈述；虽存在'hostage'等词项但未显虚假，本地模型非谣言证据略强，故应保持0。,"[{""label"": 0, ""similarity"": 0.7261, ""text"": ""Gunman in #sydneysiege switches off the lights http://t.co/5jtd36wFOU http://t.co/a4MjlUrME7""}, {""label"": 0, ""similarity"": 0.6149, ""text"": ""VIDEO: Police storm cafe in Sydney. #SydneySiege https://t.co/doIVONO5wZ""}, {""label"": 0, ""similarity"": 0.5499, ""text"": ""Images of the #SydneySiege http://t.co/dx5yyCVc9K http://t.co/wRpCfYU3sy""}, {""label"": 1, ""similarity"": 0.5398, ""text"": ""Our thoughts and prayers are with the hostages and the families in Sydney. #sydneysiege http://t.co/TYH5KaeLSA""}]",A female hostage stands by the front entrance of the cafe as she turns the lights off in Sydney. #sydneysiege http://t.co/qNfCMv9yZt
379,524964166936068097,6,0,0,0.4497034359875442,0,0.85,cache,False,False,推文为客观事件描述，局部模型证据平衡，相似训练样本中非谣言样本相似度更高，且无明显虚假或夸张线索。,"[{""label"": 0, ""similarity"": 0.766, ""text"": ""IN LOCKDOWN | Many buildings in downtown Ottawa in lockdown as shooting investigations continue: http://t.co/kKUgUz4zHC #cbcOTT #OTTnews""}, {""label"": 0, ""similarity"": 0.626, ""text"": ""Shooting investigation going on for more than 3 hours. Much of downtown Ottawa still in lockdown: http://t.co/alz6qu6Mca #cbcOTT #OTTnews""}, {""label"": 1, ""similarity"": 0.5756, ""text"": ""BREAKING | This is a photo of Michael Zehaf-Bibeau, gunman in this morning's shootings in Ottawa. #cbcOTT #OTTnews http://t.co/OLSxlYPelj""}, {""label"": 1, ""similarity"": 0.5558, ""text"": ""Police say the shooter is on roof of building at Metcalfe and Sparks 1 block from Parliament Hill #ottnews #cbcott http://t.co/ZZiMUgj69H""}]",Public servants being asked to stay inside their buildings as the active shooter investigation continues in Ottawa. #cbcOTT# OTTnews
347,524968185016360960,6,0,0,0.4344093961595457,0,0.85,cache,False,False,推文为事实性陈述（赞扬警方、描述封锁状态），相似训练样本中多为非谣言，且本地模型的谣言证据较弱，无强烈误导线索。,"[{""label"": 0, ""similarity"": 0.651, ""text"": ""#Leafs are currently in lockdown mode in a hotel in downtown #Ottawa.""}, {""label"": 1, ""similarity"": 0.572, ""text"": ""#leafs could hear shots from their rooms, I am told. #OttawaShooting""}, {""label"": 0, ""similarity"": 0.5713, ""text"": ""Leafs under lock down during tragedy in Ottawa. Our thoughts are with those on the scene http://t.co/627ve85Uhh http://t.co/qPGOrcTeve""}, {""label"": 1, ""similarity"": 0.4476, ""text"": ""The NHL has decided to postpone tonight's #sens-#leafs game in Ottawa. The right decision. The only decision.""}]","#Leafs Joffrey Lupul praises officers in Ottawa, as team remains in lock down http://t.co/OPooNxTsiv http://t.co/yBjIu2JaaP"
295,544298334354411521,5,0,0,0.43308577137367443,0,0.85,cache,False,False,推文直接引用澳大利亚总理对悉尼事件的官方反应，非谣言陈述；相似训练样本中两个非谣言样本高度匹配（官方回应），而谣言样本不构成充分证据。,"[{""label"": 0, ""similarity"": 0.5106, ""text"": ""I was briefed overnight on the siege in Sydney. It's deeply concerning and my thoughts are with all those caught up in it.""}, {""label"": 1, ""similarity"": 0.51, ""text"": ""Statement from Prime Minister Tony Abbott on Sydney hostage situation. http://t.co/MHkNRZFQWB""}, {""label"": 0, ""similarity"": 0.5086, ""text"": ""PM: I was briefed overnight on the siege in Sydney. Deeply concerning and my thoughts are with all those caught up in it.""}, {""label"": 1, ""similarity"": 0.4485, ""text"": ""#BREAKING Reported hostage-taking incident unfolding in Sydney http://t.co/Ur9ec3DtkI""}]","“This is obviously a deeply concerning incident,” Australian Prime Minister says on unfolding situation in Sydney. http://t.co/02SVSxOrFt"
346,525063393309630464,6,0,0,0.43205252536036404,1,0.75,cache,False,True,文本包含'shootings'和'Parliament Hill'等线索，且所有相似训练样本（相似度0.58-0.48）均标记为谣言，强烈支持该推文为谣言。,"[{""label"": 1, ""similarity"": 0.5815, ""text"": ""MPs credit sergeant-at-arms for saving lives in Parliament Hill shootings http://t.co/3NfiSwTwPt http://t.co/V5tIbCQgj9""}, {""label"": 1, ""similarity"": 0.5118, ""text"": ""Video: Reporter captures shoot-out in Ottawa's Parliament Hill building. Watch: http://t.co/BIemkWAVtc http://t.co/d0BakjCrAB""}, {""label"": 1, ""similarity"": 0.5006, ""text"": ""RAW VIDEO : Parliament Hill shooting. Video from inside Parliament Hill after shots were fired. #breaking http://t.co/sIwoId5RoH #CBCNews""}, {""label"": 1, ""similarity"": 0.4837, ""text"": ""Dramatic video of gunfire from inside Parliament Hill: http://t.co/8xCefbbnZa http://t.co/SYydkfOxAI""}]",VIDEO: Key moments in today's Parliament Hill shootings. http://t.co/kR1mIPoJJg http://t.co/6gYfgPTH7q
309,525058976376193024,6,1,0,0.43006378980435356,0,0.85,cache,False,False,推文内容为常规哀悼表述，本地模型非谣言证据（如'thoughts'）合理；相似训练样本中多数为非谣言，唯一谣言样本相似度仅0.674且主题相近但未提供具体谣言线索，不足以支持覆盖为谣言。,"[{""label"": 0, ""similarity"": 0.878, ""text"": ""My thoughts and prayers go out to Ottawa.""}, {""label"": 1, ""similarity"": 0.6741, ""text"": ""Thoughts go out to the family of Nathan Cirillo, 24, who was just identified as the soldier killed in Ottawa today. http://t.co/MMkW0iVIDL""}, {""label"": 0, ""similarity"": 0.6346, ""text"": ""Thoughts and prayers go out to everyone downtown Ottawa right now. #PrayForOttawa Special thanks to the officers protecting us.""}, {""label"": 0, ""similarity"": 0.6251, ""text"": ""My thoughts and prayers go out to the people affected in the #sydneysiege""}]",Our thoughts and prayers go out to Nathan Cirillo who died today in Ottawa while protecting his country at age 24 http://t.co/PfwasSALPX
383,524977767688200192,6,0,0,0.4242900886944542,0,0.85,cache,False,False,推文使用了'UPDATE'和'officially cancelled'等官方通告用语，且相似训练样本中三个非谣言样本相似度更高（0.55/0.53/0.52），仅有的一条谣言样本相似度仅0.49，证据不足以支持改为谣言。,"[{""label"": 0, ""similarity"": 0.5521, ""text"": ""A reminder for those observing the shooting on Parliament Hill: DO NOT tweet police locations and movements #ottcity #ottawa""}, {""label"": 0, ""similarity"": 0.5339, ""text"": ""Stay safe Ottawa.""}, {""label"": 0, ""similarity"": 0.5212, ""text"": ""If you have pictures or video of the suspect, email them NatDiv_Media_DivNat@rcmp-grc.gc.ca #ottawa #ottcity #ottnews""}, {""label"": 1, ""similarity"": 0.4935, ""text"": ""Shooting in downtown Ottawa, police evacuating Rideau Centre and closing off Wellington. Stay safe #uOttawa students""}]","UPDATE: #uOttawa courses + exams officially cancelled for the whole day. Lockdown still in effect. Stay indoors, stay safe #Ottawa #ottcity"
